,original_index,current_dataindex
0,25313,0
1,23267,1
2,20189,2
3,45909,3
4,25799,4
5,28938,5
6,39038,6
7,11948,7
8,22407,8
9,9467,9
10,45042,10
11,44790,11
12,30460,12
13,40982,13
14,27485,14
15,10433,15
16,5933,16
17,5092,17
18,49727,18
19,38769,19
20,28775,20
21,34957,21
22,15138,22
23,5580,23
24,29802,24
25,22001,25
26,42935,26
27,35638,27
28,14033,28
29,37175,29
30,35966,30
31,36423,31
32,41381,32
33,27408,33
34,6356,34
35,21665,35
36,45078,36
37,33197,37
38,25402,38
39,39600,39
40,38864,40
41,27651,41
42,44521,42
43,20526,43
44,37480,44
45,39925,45
46,41718,46
47,48904,47
48,17355,48
49,48526,49
50,30030,50
51,29126,51
52,37726,52
53,2287,53
54,26663,54
55,41599,55
56,46351,56
57,5150,57
58,46860,58
59,36807,59
60,770,60
61,17818,61
62,37537,62
63,22705,63
64,5605,64
65,15965,65
66,26464,66
67,5216,67
68,23522,68
69,39172,69
70,47432,70
71,24363,71
72,41366,72
73,26731,73
74,3013,74
75,24537,75
76,43608,76
77,13986,77
78,29518,78
79,40905,79
80,46403,80
81,9007,81
82,19173,82
83,5282,83
84,48802,84
85,48795,85
86,28175,86
87,39294,87
88,1778,88
89,32209,89
90,32763,90
91,11396,91
92,12773,92
93,19312,93
94,13794,94
95,15609,95
96,27354,96
97,33709,97
98,26102,98
99,18886,99
100,32551,100
101,43181,101
102,39644,102
103,9389,103
104,24133,104
105,42850,105
106,33144,106
107,41014,107
108,7019,108
109,39238,109
110,34272,110
111,44367,111
112,11479,112
113,42588,113
114,15615,114
115,37906,115
116,12026,116
117,26273,117
118,36098,118
119,42164,119
120,11791,120
121,19067,121
122,21093,122
123,26338,123
124,10854,124
125,6524,125
126,17254,126
127,11147,127
128,11756,128
129,9272,129
130,33156,130
131,14720,131
132,23201,132
133,31327,133
134,26246,134
135,12867,135
136,6378,136
137,38468,137
138,16227,138
139,27896,139
140,31608,140
141,2654,141
142,36340,142
143,30628,143
144,19027,144
145,7217,145
146,9109,146
147,10768,147
148,37648,148
149,15025,149
150,18937,150
151,34901,151
152,1590,152
153,38811,153
154,48328,154
155,24936,155
156,13673,156
157,28317,157
158,23173,158
159,21721,159
160,2087,160
161,14792,161
162,48310,162
163,14539,163
164,48465,164
165,1218,165
166,8653,166
167,46295,167
168,12163,168
169,17066,169
170,24238,170
171,43950,171
172,8587,172
173,41686,173
174,32578,174
175,6800,175
176,34898,176
177,13728,177
178,34579,178
179,23008,179
180,18597,180
181,7606,181
182,45317,182
183,4023,183
184,22844,184
185,44797,185
186,12604,186
187,29563,187
188,41106,188
189,24075,189
190,33054,190
191,25644,191
192,44975,192
193,29560,193
194,35435,194
195,12347,195
196,35104,196
197,16625,197
198,22842,198
199,23234,199
200,5691,200
201,31765,201
202,39709,202
203,37195,203
204,2975,204
205,25734,205
206,5765,206
207,34637,207
208,45835,208
209,32937,209
210,23249,210
211,34493,211
212,37930,212
213,33734,213
214,16043,214
215,25823,215
216,46474,216
217,12457,217
218,32115,218
219,34167,219
220,38635,220
221,32204,221
222,46771,222
223,18031,223
224,19841,224
225,14970,225
226,14283,226
227,10825,227
228,15852,228
229,37995,229
230,9309,230
231,20451,231
232,17785,232
233,12851,233
234,28373,234
235,16296,235
236,8754,236
237,41393,237
238,20499,238
239,46033,239
240,30788,240
241,21954,241
242,19039,242
243,20911,243
244,16423,244
245,39566,245
246,20114,246
247,46830,247
248,30743,248
249,21925,249
250,16089,250
251,14457,251
252,18051,252
253,41831,253
254,44692,254
255,34288,255
256,37988,256
257,6090,257
258,28025,258
259,43553,259
260,45782,260
261,9453,261
262,39376,262
263,22725,263
264,19413,264
265,1994,265
266,24137,266
267,30627,267
268,40875,268
269,25999,269
270,14429,270
271,49880,271
272,46358,272
273,19844,273
274,17661,274
275,10210,275
276,18606,276
277,15134,277
278,8107,278
279,37979,279
280,33508,280
281,28678,281
282,10843,282
283,4310,283
284,8699,284
285,42037,285
286,33099,286
287,14699,287
288,44121,288
289,29763,289
290,1316,290
291,24335,291
292,21069,292
293,18772,293
294,30327,294
295,4283,295
296,20907,296
297,12517,297
298,44347,298
299,2475,299
300,23158,300
301,40198,301
302,4750,302
303,16444,303
304,33399,304
305,39635,305
306,45453,306
307,15281,307
308,893,308
309,38198,309
310,27318,310
311,29436,311
312,14705,312
313,7871,313
314,3376,314
315,48994,315
316,33346,316
317,48751,317
318,6050,318
319,45401,319
320,11405,320
321,3043,321
322,12398,322
323,47329,323
324,1501,324
325,27961,325
326,26687,326
327,47787,327
328,39564,328
329,25627,329
330,5665,330
331,19722,331
332,8183,332
333,14438,333
334,47396,334
335,31987,335
336,48588,336
337,34707,337
338,32205,338
339,30649,339
340,5776,340
341,49291,341
342,5533,342
343,47388,343
344,11483,344
345,36223,345
346,34465,346
347,31815,347
348,49243,348
349,4350,349
350,45897,350
351,2693,351
352,20362,352
353,40795,353
354,43246,354
355,49664,355
356,26952,356
357,10466,357
358,4306,358
359,33951,359
360,37474,360
361,20044,361
362,23480,362
363,21506,363
364,45300,364
365,1493,365
366,1896,366
367,1317,367
368,11798,368
369,46335,369
370,6402,370
371,22215,371
372,37007,372
373,15174,373
374,43590,374
375,33873,375
376,13620,376
377,757,377
378,7256,378
379,28293,379
380,36494,380
381,37982,381
382,16937,382
383,20595,383
384,16766,384
385,37955,385
386,30383,386
387,3230,387
388,3392,388
389,34584,389
390,6450,390
391,44639,391
392,42041,392
393,19731,393
394,10715,394
395,5291,395
396,33295,396
397,20624,397
398,15493,398
399,32510,399
400,41350,400
401,2032,401
402,35440,402
403,42801,403
404,8852,404
405,8218,405
406,4323,406
407,8165,407
408,6125,408
409,47007,409
410,1436,410
411,1638,411
412,33026,412
413,31778,413
414,34184,414
415,13340,415
416,49680,416
417,34100,417
418,48144,418
419,48371,419
420,35679,420
421,17713,421
422,36954,422
423,8654,423
424,13899,424
425,24644,425
426,49824,426
427,42286,427
428,47309,428
429,41878,429
430,8368,430
431,920,431
432,40549,432
433,11419,433
434,17813,434
435,10778,435
436,29952,436
437,45819,437
438,18295,438
439,42289,439
440,4012,440
441,25049,441
442,8664,442
443,49382,443
444,17479,444
445,5373,445
446,12695,446
447,29758,447
448,33627,448
449,46188,449
450,4418,450
451,34149,451
452,22646,452
453,27236,453
454,32202,454
455,7316,455
456,49158,456
457,31283,457
458,42299,458
459,27982,459
460,15051,460
461,8489,461
462,13944,462
463,42148,463
464,16217,464
465,1149,465
466,28682,466
467,1121,467
468,48053,468
469,25487,469
470,7474,470
471,12481,471
472,41411,472
473,16006,473
474,23529,474
475,4453,475
476,17862,476
477,39456,477
478,48666,478
479,16272,479
480,16722,480
481,8637,481
482,39733,482
483,41814,483
484,19279,484
485,15708,485
486,12324,486
487,48917,487
488,37202,488
489,47404,489
490,43044,490
491,27922,491
492,11132,492
493,48830,493
494,12999,494
495,35496,495
496,9580,496
497,35089,497
498,8660,498
499,21986,499
500,9796,500
501,41707,501
502,25398,502
503,48820,503
504,19482,504
505,47298,505
506,16363,506
507,45062,507
508,17609,508
509,42569,509
510,17417,510
511,9208,511
512,16071,512
513,17257,513
514,40285,514
515,8253,515
516,28600,516
517,35110,517
518,36311,518
519,107,519
520,26669,520
521,49188,521
522,30172,522
523,47387,523
524,44191,524
525,40010,525
526,2696,526
527,49568,527
528,26705,528
529,40057,529
530,5235,530
531,35709,531
532,17642,532
533,21956,533
534,2266,534
535,13642,535
536,143,536
537,33880,537
538,42532,538
539,6514,539
540,24416,540
541,43476,541
542,27062,542
543,17679,543
544,37416,544
545,7152,545
546,10616,546
547,11922,547
548,2407,548
549,7378,549
550,18914,550
551,20297,551
552,38708,552
553,31799,553
554,34170,554
555,25936,555
556,2755,556
557,41247,557
558,43686,558
559,9734,559
560,39019,560
561,35062,561
562,37487,562
563,46496,563
564,35964,564
565,25435,565
566,32234,566
567,21997,567
568,49668,568
569,20923,569
570,23670,570
571,5640,571
572,28142,572
573,34090,573
574,21126,574
575,8119,575
576,33337,576
577,41315,577
578,19974,578
579,2552,579
580,45112,580
581,7914,581
582,23467,582
583,704,583
584,38782,584
585,14829,585
586,22313,586
587,26609,587
588,16225,588
589,26770,589
590,33789,590
591,40532,591
592,19529,592
593,783,593
594,34455,594
595,947,595
596,4077,596
597,17636,597
598,47052,598
599,26508,599
600,19247,600
601,12193,601
602,22123,602
603,33451,603
604,47863,604
605,49953,605
606,348,606
607,27290,607
608,5112,608
609,22414,609
610,32535,610
611,5834,611
612,40262,612
613,48092,613
614,8802,614
615,38776,615
616,30438,616
617,4101,617
618,9840,618
619,30241,619
620,48522,620
621,7199,621
622,41514,622
623,36569,623
624,4085,624
625,344,625
626,28364,626
627,42568,627
628,26817,628
629,9777,629
630,34973,630
631,45415,631
632,16598,632
633,26399,633
634,27010,634
635,47275,635
636,47079,636
637,34344,637
638,12217,638
639,18689,639
640,25251,640
641,35063,641
642,23715,642
643,48315,643
644,11505,644
645,4322,645
646,49619,646
647,49492,647
648,10431,648
649,4801,649
650,23683,650
651,33130,651
652,36700,652
653,20680,653
654,11041,654
655,20933,655
656,26869,656
657,43400,657
658,23457,658
659,49541,659
660,1211,660
661,30207,661
662,3512,662
663,9956,663
664,45359,664
665,25939,665
666,9533,666
667,25265,667
668,25263,668
669,39754,669
670,18466,670
671,23013,671
672,24770,672
673,44060,673
674,12586,674
675,28325,675
676,13413,676
677,16746,677
678,39005,678
679,6672,679
680,13213,680
681,44787,681
682,2707,682
683,46817,683
684,17765,684
685,36002,685
686,25017,686
687,15869,687
688,23931,688
689,2472,689
690,27182,690
691,1145,691
692,7849,692
693,10399,693
694,22929,694
695,16531,695
696,44489,696
697,1591,697
698,14860,698
699,15907,699
700,8449,700
701,39980,701
702,48518,702
703,27034,703
704,3766,704
705,45323,705
706,6491,706
707,14773,707
708,4962,708
709,23702,709
710,28923,710
711,34277,711
712,7236,712
713,48311,713
714,32639,714
715,23705,715
716,2271,716
717,37215,717
718,39080,718
719,28642,719
720,144,720
721,22640,721
722,11293,722
723,16612,723
724,4413,724
725,42615,725
726,6228,726
727,3474,727
728,7227,728
729,26880,729
730,25236,730
731,2231,731
732,37105,732
733,8946,733
734,49287,734
735,11590,735
736,14112,736
737,11739,737
738,8878,738
739,9680,739
740,14090,740
741,2080,741
742,19872,742
743,31942,743
744,11685,744
745,16657,745
746,31207,746
747,24225,747
748,34091,748
749,45304,749
750,34046,750
751,46920,751
752,40044,752
753,9699,753
754,11899,754
755,1930,755
756,31238,756
757,15205,757
758,29641,758
759,17821,759
760,48478,760
761,3667,761
762,18842,762
763,27520,763
764,45197,764
765,25592,765
766,33990,766
767,5865,767
768,15235,768
769,42275,769
770,29682,770
771,24214,771
772,46688,772
773,48122,773
