,original_index,current_dataindex
0,32221,0
1,15565,1
2,41635,2
3,14074,3
4,41581,4
5,24081,5
6,28726,6
7,21136,7
8,40275,8
9,30453,9
10,46304,10
11,10669,11
12,11426,12
13,42924,13
14,10120,14
15,9756,15
16,33830,16
17,48605,17
18,24018,18
19,40330,19
20,33798,20
21,36263,21
22,14876,22
23,39363,23
24,3918,24
25,33249,25
26,31662,26
27,49045,27
28,11317,28
29,45526,29
30,30160,30
31,28690,31
32,45439,32
33,10630,33
34,40188,34
35,8400,35
36,43054,36
37,16278,37
38,41587,38
39,8831,39
40,822,40
41,38401,41
42,46137,42
43,8651,43
44,36022,44
45,16037,45
46,1947,46
47,41851,47
48,17288,48
49,42710,49
50,44509,50
51,49898,51
52,46057,52
53,38039,53
54,9455,54
55,34547,55
56,4948,56
57,31069,57
58,22155,58
59,14443,59
60,27405,60
61,1141,61
62,14615,62
63,17963,63
64,17457,64
65,36388,65
66,29274,66
67,7016,67
68,35565,68
69,49043,69
70,35350,70
71,31195,71
72,47133,72
73,40955,73
74,30069,74
75,5790,75
76,44907,76
77,14566,77
78,34287,78
79,12949,79
80,31226,80
81,8670,81
82,13740,82
83,24111,83
84,39399,84
85,45840,85
86,41956,86
87,25186,87
88,47020,88
89,35083,89
90,33518,90
91,5140,91
92,34792,92
93,25981,93
94,29105,94
95,35126,95
96,23207,96
97,20729,97
98,43158,98
99,27900,99
100,44787,100
101,4957,101
102,41228,102
103,9546,103
104,8207,104
105,38310,105
106,2838,106
107,18771,107
108,9587,108
109,45212,109
110,7352,110
111,14715,111
112,45586,112
113,15853,113
114,1509,114
115,37241,115
116,44469,116
117,3108,117
118,624,118
119,37875,119
120,49588,120
121,48003,121
122,41101,122
123,25732,123
124,49634,124
125,21139,125
126,30519,126
127,4444,127
128,27084,128
129,42298,129
130,36847,130
131,39784,131
132,27177,132
133,15884,133
134,14660,134
135,43924,135
136,29989,136
137,3439,137
138,11656,138
139,27325,139
140,42623,140
141,15304,141
142,14738,142
143,22751,143
144,30487,144
145,9970,145
146,34226,146
147,6611,147
148,11189,148
149,30182,149
150,1797,150
151,16114,151
152,16944,152
153,25612,153
154,30096,154
155,5322,155
