,index,review,sentiment
0,13188,movi chang way third way total pointless bore stupid hate movi much never watch bad film realli funni british art hous pictur never made,0
1,15332,scari rather gori adapt stephen king great novel featur outstand central perform dale midkiff fred gwynn sadli die year ago denis crosbi realli gruesom gore effect director mari lambert wonder sen visual style manag make one version king work worth see genuin unnerv depict zombi child gage miko hugh later new nightmar equal noteworthi could easili laughabl charact made menac spooki peopl think one scari watch alon dark eventu squeamish girlfriend guarante pet sematari creep horror movi like one texa chain saw massacr watch group recommend horror fan,1
2,2560,wonder quirki film enough twist sack pretzel parker posey play fay grim sexi vulner love mother may may seem stori tongu cheek dialog skill underst hint humor intrigu neither overpow character posey pull well support cast stellar downsid film need full attent almost point stop film take note posey sex appeal lift eyebrow actress entir bodi worth time even understand denouement,1
3,37901,short comment want say like movi much sandra bullock favourit actress like whole stori begin end tape watch time matter,1
4,6378,like great classic bug bunni cartoon movi humor differ level introduc year old daughter year old son enjoy movi bust laugh quit time daughter much sci fi fan movi kept laugh despit seen time adult level humor humor adult get simpli greater life experi baudi r rate stuff found keep movi equal enjoy adult exampl adult level humor martian voic base charact differ movi actor martian pilot blazne voic manner jack nicholson scientist peter seller dr strangelov special effect surprisingli good film lack top actor actual work movi favor actor actress play part well fact would say produc pick actor skill role need box offic draw power excel exampl wayn alexand vern charact write review kid play rd time day dinner right good raini day late night weekend noth bore movi,1
5,22054,movi star emili watson break wave fame movi one man ob take place resort chess tournament held chess master arriv shortli fall madli love first sight woman play emili watson fall oddbal man ob chess dismay mother far interest see anoth young gentleman proper gentleman mother feel pas fanci young woman tendenc take odd anim ensu mostli journey man psych tell stori past close tie present emili watson amaz well actor play main charact definit slow well worth watch end even satisfi,1
6,40795,much enjoy littl music fantasi bought copi share friend pleasant divert chang mundan live believ benefit activ fantasi life one joy indulg heartili recommend perform excel music uplift,1
7,22084,brian dennehi bill paxton joe pantalino best jeff fahey one film wow think say four underr actor biz work beauti togeth like poetri way play ooz natur abil seem though best buddi eon even shoot film film fine one quit intens view first time four star help watch abil great extent cannot describ good see bill paxton jeff fahey togeth screen greatest moment watch coupl distanc fill vocal almost brought tear eye good film great cast go see four word fahey dennehi paxton pantalino,1
8,8651,love paul mccartney oppinion greatest time could howev afford ticket concert tacoma dome back u tour upset say least found dvd almost good paul still man enjoy year come one complaint would like hear hey jude also paul dead singl greatest concert dvd ever,1
9,16625,spend hour see brilliant dan finnerti dan band perform special bravo enjoy hour ever spent watch tv young man dan incred talent singer perform even dancer go cheesiest ballad pop song sung woman hip hop rock also song written woman guy anyth seen live least time expect well show would adapt televis film format reserv went away instantli show start dan overwhelm star qualiti favor watch better yet buy,1
10,34792,movi think end seeth anger wast money time part everyon involv make wonder alan moor refus anyth v vendetta phenomen film debacl bad entertain way like showgirl bad way make want claw eye plot hole size planet worst script memori horribl act decent actor visual great somehow flop could good,0
11,14124,complet wast time movi start clone saw seri even wors act melissa joan hart absolut horribl end ridicul stori contain twist plot surpris plain bad end like charact hope everyth tie togeth end happen total wrestler end none good act believ spent time watch fun peopl put guy mask kidnap peopl connect forc figur connect stretch shot main actress first,0
12,6050,abhay deol second film written imtiaz ali maiden directori effort shivam nair soha probabl first meati role megha girl run away home wait delhi marriag registrar offic boyfriend dheeraj shayan munshi meet wait wait final spot damsel distress ankush abhay deol spend mani day togeth extric one distress situat anoth final fall love boyfriend return aag pardey par dekhiy sound familiar yet anoth adapt dostoyevski white night tini bit borrow le notti bianchi tini though ankush keep lover apart tell boyfriend dead earthier realist duh adapt much hype overblown saawariya wonder one brought littl gem discus saawariya like crazi month ago delhi set wonder obligatori run old delhi shot jama masjid roof top connaught circu street rickshaw color light fixtur hotel enough tell seedi joint room hire hour see abhay like young man second film quit good hire wit given purpos life beauti woman soha look beauti smile fit role found unconvinc seriou moment quit sure great actress mayb blossom late like brother music himesh reshammiya great fact movi falter song kind interrupt narr sit well charact tri sing support cast excel give white night adapt thumb btw fact love abhay deol cute dimpl noth rate,1
13,12626,waterd main charact waterd play eric stoltz find rehab center other similarli injur must face harsh new life confin wheelchair interest promis premis unfortun fail deploy ensu instead larg hollywood schmaltz interest moment certainli cast eric stoltz william forsyth wesley snipe et al brilliant perform well one would expect talent wast charact mainli stereotyp one kind anoth thoroughli unlik snipe charact except suppos kind attempt break peopl idea handicap crippl weak depict part face prick make entir annoy experi admittedli show someth perman disabl go way soften romantic use good idea process depict make one difficult person get along worth deal part parcel charact must vari degre despic disneyfi either sure middl ground somewher film conclus eric stoltz charact come accept statu handicap person sinc flame narcissist monster begin film end care le addit charact problem film suffer weird syndrom mani hollywood movi suffer syndrom realli offici name might call inexplic forgiv syndrom goe someth like charact abus crap without much apolog forgiven especi obnoxi exampl movi breakfast club one charact spend film verbal bulli everybodi within earshot result love one latest exampl spiderman supervillain sandman lay wast chunk manhattan wail spiderman seem like monoton minut wave amount bye egregi exampl if waterd sequenc call n word william forsyth racist biker charact friend previou scene wesley snipe charact whoop forsyth charact next scene noth happen short time henc without much oh yeah sorri busi back know call n word make wonder peopl actual watch movi releas film eye close kind slap togeth edit room accord scene number call day work,0
14,33204,know end movi import cast direct act nice see director script get right clock minut item le stretch stori tri grasp inan topic stay focus funni sad well thought morgan freeman lucki number slevin star age actor grasp role present introduc travel supermarket way section town kid jonah hill click realiz star car kid pressur talk absenc cinema past year forthcom also en rout shoot locat indi film might act decid go accept part kid rel director involv indi ventur soon drop middl nowheresvil stuck decid check local market immedi run beauti scarlet paz vega oper item le regist strikingli pretti intellig begin use prime research subject upcom independ film role learn figur number quickli know quirk everi member isol commun use scarlet help see deeper life travel togeth get car back cheat husband teach act get new job pine dress success even confront target epitom local cloth probabl one funniest moment get glimps show complet lack understand chain store retail world shirt buck possibl end state begin review abrupt apropo way two could ever remain friend even though form uniqu bond know say goodby garner quiet rivet moment scarlet clunker car sit idl outsid l mansion great independ product one wast littl time get go wast time either,1
15,8850,girlfriend walk cold london even leicest squar movi say speak english show stadium could thought slum south american citi slum anywher world queen nyc ramin bahrani right offici hero seem devot work show face american real face america ramin bahrani movi like ladri di biciclett germania anno zero rom citta aperta chop shop realiti turn movi realist documentari fact think ramin bahrani movi realist documentari great movi expect car chase shoot movi tragic live margin wealthiest richest countri world,1
16,41127,albert pyun deliv good action drama junki tri rip big crime lord lot style mani cool actor burt reynold excel,1
17,13546,plot simpl countri boy lem farrel goe citi sell wheat crop fall love waitress kate duncan marri bring home hostil father group woman hungri reaper shade knew want mouse men courtship take place two lengthi sequenc set restaur consum first half hour letharg pace lem weak allow father mistreat wife proposit mac richard alexand one reaper come away duncan alexand good thing tediou potboil lack insight cinemat beauti expect murnau farrel charact backbon wind root real man mac take kate away audienc sympathi skew film lose narr progress father convers film end unrealist unbeliev make contriv denouement film fan star director gener audienc need bother,0
18,8415,ripe one aw indi manag get circul give indi bad name tell stupidli incongru tale pubesc twin sister crawl firey car crash kill parent hit road happili shoplift make goo goo eye guy end armi post dilapid armi would want yeah right appar attempt come age flick ripe almost complet loser wander aimlessli player drift charact final end clumsili nari shred credibl found anywher recommend anyon,0
19,25697,premis film pretti lame olli diagnos hornophobia film amiabl enjoy littl flick also darn bit better film went make one probabl sinc last hal roach produc laurel hardi film fact bad idea see latter film entir chemistri lost film boy play part pure patho someth true laurel hardi film never would bit edg later film lack stan olli work horn factori sound pretti funni surprisingli racket olli nervou breakdown must take time work doctor jame finlayson last film team recommend ocean voyag howev like sail stan idea rent boat tie dock get sea air want without bother boat danger escap crimin board boat accident set sea fortun portion film actual well pace end work well great full length laurel hardi film much better mani sinc annoy distract music number like devil brother babe toyland addit still decent amount physic comedi someth would see almost none film part due boy declin health olli increas girth part due overal insipid later film,1
20,12002,interest movi half comedi half polit thriller lot good element although littl predict robin william star tom dobb popular comedian hit show give polit commentari think daili show john stuart tape one show femal audienc tell run presid follow joke taken serious need get ball roll start dobb polit career run independ oppos democrat republican equal straightforward honest becom increasingli popular mayb popular enough actual win clearli underdog elect meanwhil corrupt softwar compani creat program make vote much quicker easier common peopl glitch glitch discov young ladi name elanor linnley appeas softwar develop lie fix glitch upcom elect elect day come around lo behold dobb declar winner big surpris elanor know realli presid win legitim decid tell presid complic aris compani went far poison order silenc addit quickli take like dobb plot take twist turn reach slightli predict conclus never got bore robin great usual christoph walken often stole show dobb manag turn polit advis best friend entertain film good messag recommend mood dark satir someth make think overal give,1
