,original_index,current_dataindex
0,37883,0
1,29996,1
2,23004,2
3,4150,3
4,44580,4
5,7017,5
6,1647,6
7,4310,7
8,34376,8
9,8614,9
10,14683,10
11,34586,11
12,22085,12
13,42801,13
14,46450,14
15,13298,15
16,30156,16
17,31035,17
18,44172,18
19,22077,19
20,48802,20
21,2831,21
22,6864,22
23,32833,23
24,30061,24
25,1145,25
26,13380,26
27,29801,27
28,6090,28
29,11218,29
30,38180,30
31,11678,31
32,9816,32
33,7028,33
34,35498,34
35,42871,35
36,25708,36
37,3549,37
38,26539,38
39,17067,39
40,13217,40
41,17818,41
42,12794,42
43,6988,43
44,6479,44
45,42275,45
46,41442,46
47,32003,47
48,42420,48
49,27230,49
50,27981,50
51,38166,51
52,24216,52
53,44039,53
54,12271,54
55,36700,55
56,41763,56
57,27485,57
58,9075,58
59,36954,59
60,45819,60
61,8152,61
62,7016,62
63,5143,63
64,39113,64
65,18151,65
66,22118,66
67,17290,67
68,16052,68
69,35061,69
70,26687,70
71,49680,71
72,2409,72
73,43687,73
74,7326,74
75,14596,75
76,22063,76
77,38092,77
78,42609,78
79,34888,79
80,11396,80
81,999,81
82,28610,82
83,45961,83
84,20468,84
85,37024,85
86,39522,86
87,15138,87
88,11986,88
89,11764,89
90,20638,90
91,44936,91
92,5306,92
93,46288,93
94,9467,94
95,8661,95
96,12270,96
97,26246,97
98,45555,98
99,35329,99
100,15013,100
101,47269,101
102,40968,102
103,45897,103
104,5765,104
105,6749,105
106,35190,106
107,7079,107
108,28113,108
109,16444,109
110,42472,110
111,26648,111
112,20967,112
113,228,113
114,40931,114
115,529,115
116,20603,116
117,46564,117
118,17479,118
119,32786,119
120,19588,120
121,5024,121
122,15479,122
123,15513,123
124,1617,124
125,26138,125
126,18842,126
127,19279,127
128,38265,128
129,15793,129
130,6800,130
131,17943,131
132,46826,132
133,4811,133
134,12127,134
135,40952,135
136,22144,136
137,47011,137
138,16937,138
139,20943,139
140,33535,140
141,40685,141
142,22878,142
143,16514,143
144,23482,144
145,36908,145
146,14365,146
147,8645,147
148,8257,148
149,30885,149
150,450,150
151,40314,151
152,44367,152
153,12851,153
154,14260,154
155,53,155
156,30242,156
157,37988,157
158,47114,158
159,46817,159
160,49270,160
161,30327,161
162,49140,162
163,36869,163
164,16585,164
165,43226,165
166,10291,166
167,49588,167
168,4911,168
169,4913,169
170,35145,170
171,12604,171
172,10287,172
173,2975,173
174,37541,174
175,46342,175
176,9540,176
177,44754,177
178,10466,178
179,31589,179
180,43422,180
181,25411,181
182,7829,182
183,49696,183
184,47497,184
185,36126,185
186,44876,186
187,18118,187
188,48900,188
189,33701,189
190,39690,190
191,9461,191
192,9580,192
193,3955,193
194,26338,194
195,42065,195
196,32758,196
197,27640,197
198,1608,198
199,39888,199
200,35660,200
201,22319,201
202,12824,202
203,23784,203
204,7729,204
205,9765,205
206,33483,206
207,25936,207
208,9370,208
209,16925,209
210,24130,210
211,18947,211
212,21665,212
213,33840,213
214,2355,214
215,19078,215
216,671,216
217,8550,217
218,42593,218
219,11041,219
220,37525,220
221,17979,221
222,17661,222
223,20482,223
224,13701,224
225,6996,225
226,45155,226
227,40427,227
228,43973,228
229,1436,229
230,19668,230
231,26488,231
232,38148,232
233,31826,233
234,14584,234
235,8335,235
236,8253,236
237,1709,237
238,5347,238
239,29952,239
240,27977,240
241,31858,241
242,8482,242
243,38541,243
244,45092,244
245,25444,245
246,39644,246
247,1857,247
248,23728,248
249,20736,249
250,20502,250
251,33300,251
252,45323,252
253,47351,253
254,31874,254
255,6122,255
256,15853,256
257,9294,257
258,30278,258
259,16298,259
260,7164,260
261,18170,261
262,46146,262
263,35672,263
264,16217,264
265,7166,265
266,11274,266
267,3769,267
268,5691,268
269,25071,269
270,20211,270
271,24949,271
272,14690,272
273,33951,273
274,16363,274
275,5194,275
276,36756,276
277,30500,277
278,35144,278
279,35136,279
280,8201,280
281,6439,281
282,9840,282
283,45361,283
284,15070,284
285,46094,285
286,41686,286
287,29760,287
