,original_index,current_dataindex
0,10256,0
1,40512,1
2,29545,2
3,7217,3
4,21722,4
5,16688,5
6,40975,6
7,8460,7
8,39690,8
9,10291,9
10,43037,10
11,19038,11
12,41784,12
13,48269,13
14,34362,14
15,7309,15
16,10117,16
17,49118,17
18,12384,18
19,33356,19
20,10403,20
21,28805,21
22,46261,22
23,39910,23
24,12592,24
25,45281,25
26,27850,26
27,1547,27
28,22785,28
29,37269,29
30,30609,30
31,23482,31
32,41957,32
33,13817,33
34,46358,34
35,37228,35
36,7914,36
37,25009,37
38,44465,38
39,2231,39
40,46480,40
41,11791,41
42,16071,42
43,41868,43
44,18907,44
45,40847,45
46,17562,46
47,4444,47
48,2505,48
49,18129,49
50,22313,50
51,3108,51
52,9636,52
53,19340,53
54,30218,54
55,38571,55
56,33880,56
57,38915,57
58,46825,58
59,29657,59
60,13106,60
61,26050,61
62,28909,62
63,23921,63
64,24018,64
65,44654,65
66,48338,66
67,2435,67
68,47153,68
69,29325,69
70,46057,70
71,17535,71
72,29883,72
73,2044,73
74,32384,74
75,4614,75
76,21342,76
77,33578,77
78,46771,78
79,37378,79
80,17979,80
81,9645,81
82,49568,82
83,30358,83
84,5665,84
85,41959,85
86,33314,86
87,33054,87
88,39261,88
89,36776,89
90,39399,90
91,36769,91
92,7362,92
93,12828,93
94,1105,94
95,21437,95
96,38750,96
97,44297,97
98,48588,98
99,37261,99
100,5111,100
101,28377,101
102,18292,102
103,46186,103
104,43899,104
105,32377,105
106,45753,106
107,20225,107
108,8754,108
109,16966,109
110,20484,110
111,23332,111
112,9961,112
113,43954,113
114,21410,114
115,7328,115
116,11752,116
117,48289,117
118,45305,118
119,7773,119
120,11590,120
121,22144,121
122,20362,122
123,34792,123
124,20656,124
125,15662,125
126,2719,126
127,42710,127
128,20209,128
129,2676,129
130,13986,130
131,16213,131
132,29436,132
133,17385,133
134,35737,134
135,18118,135
136,35732,136
137,44039,137
138,16333,138
139,13152,139
140,43628,140
141,41381,141
142,44790,142
143,31778,143
144,43919,144
145,18771,145
146,1366,146
147,8670,147
148,38468,148
149,40952,149
150,2929,150
151,39524,151
152,37486,152
153,28291,153
154,3890,154
155,35733,155
156,44106,156
157,19731,157
158,38170,158
159,30810,159
160,1467,160
161,7017,161
162,19413,162
163,822,163
164,7539,164
165,9521,165
166,32917,166
167,14733,167
168,11211,168
169,25939,169
170,23721,170
171,143,171
172,33752,172
173,21345,173
174,19385,174
175,7073,175
176,20229,176
177,25449,177
178,39518,178
179,22637,179
180,8946,180
181,3109,181
182,41215,182
183,16360,183
184,48086,184
185,40010,185
186,595,186
187,27856,187
188,45325,188
