,original_index,current_dataindex
0,27349,0
1,43854,1
2,39888,2
3,46855,3
4,3388,4
5,47650,5
6,6184,6
7,19143,7
8,22509,8
9,14707,9
10,39618,10
11,40685,11
12,9736,12
13,45759,13
14,37930,14
15,11030,15
16,5092,16
17,24738,17
18,30487,18
19,20924,19
20,15425,20
21,34415,21
22,24416,22
23,33029,23
24,22935,24
25,31070,25
26,14074,26
27,10564,27
28,19247,28
29,33223,29
30,7063,30
31,24682,31
32,11058,32
33,29996,33
34,3149,34
35,13174,35
36,2056,36
37,4350,37
38,8653,38
39,31339,39
40,13075,40
41,44540,41
42,5548,42
43,5652,43
44,1940,44
45,53,45
46,14273,46
47,11665,47
48,30967,48
49,13049,49
50,8508,50
51,45418,51
52,27266,52
53,14713,53
54,9877,54
55,1608,55
56,17961,56
57,16487,57
58,23327,58
59,23335,59
60,868,60
61,11918,61
62,34165,62
63,46810,63
64,33633,64
65,36877,65
66,11573,66
67,41718,67
68,7632,68
69,13243,69
70,23779,70
71,5600,71
72,23888,72
73,13689,73
74,33069,74
75,37105,75
76,23836,76
77,19097,77
78,24111,78
79,38438,79
80,26650,80
81,38355,81
82,33563,82
83,22566,83
84,33495,84
85,38992,85
86,48580,86
87,15263,87
88,37533,88
89,12092,89
90,30598,90
91,33085,91
92,47166,92
93,15411,93
94,46054,94
95,26583,95
96,31204,96
97,388,97
98,48513,98
99,4006,99
100,48978,100
101,32202,101
102,14399,102
103,7624,103
104,7489,104
105,6137,105
106,12586,106
107,29416,107
108,18092,108
109,46826,109
110,49338,110
111,43181,111
112,29776,112
113,38674,113
114,8415,114
115,26246,115
116,41240,116
117,21882,117
118,47497,118
119,36337,119
120,44797,120
121,36002,121
122,49815,122
123,45512,123
124,32016,124
125,49933,125
126,32937,126
127,2039,127
128,4418,128
129,38930,129
130,44702,130
131,22891,131
132,33701,132
133,11739,133
134,46447,134
135,43972,135
136,41514,136
137,45728,137
138,41382,138
139,15339,139
140,36700,140
141,24558,141
142,21239,142
143,843,143
144,37427,144
145,17895,145
146,30885,146
147,5533,147
148,20933,148
149,33432,149
150,31603,150
151,32483,151
152,12217,152
153,7316,153
154,21623,154
155,45290,155
156,15332,156
157,44522,157
158,15931,158
159,1118,159
160,11216,160
161,23390,161
162,43318,162
163,38231,163
164,34287,164
165,16855,165
166,37722,166
167,8152,167
168,49013,168
169,42935,169
170,38052,170
171,21527,171
172,29518,172
173,23691,173
174,5366,174
175,39285,175
176,1717,176
177,49539,177
178,1850,178
179,13732,179
180,8005,180
181,11336,181
182,16431,182
183,34167,183
184,46404,184
185,38886,185
186,25669,186
187,17943,187
188,7656,188
189,24300,189
190,26014,190
191,8021,191
192,6923,192
193,6994,193
194,20602,194
195,30377,195
196,39564,196
197,45739,197
198,28495,198
199,6012,199
200,17915,200
201,41424,201
202,30760,202
203,20957,203
204,5593,204
205,19842,205
206,40955,206
207,19180,207
208,13028,208
209,4720,209
210,12193,210
211,3395,211
212,49561,212
213,24602,213
214,674,214
215,44050,215
216,35505,216
217,36435,217
218,49119,218
219,49265,219
220,4950,220
221,37575,221
222,3176,222
223,9079,223
224,22193,224
225,45857,225
226,46992,226
227,1796,227
228,17679,228
229,21260,229
230,48530,230
231,40353,231
232,35957,232
233,1278,233
234,45387,234
235,28533,235
236,48921,236
237,49771,237
238,43342,238
239,25049,239
240,40980,240
241,31378,241
242,34798,242
243,28141,243
244,8316,244
245,24075,245
246,4933,246
247,43644,247
248,39762,248
249,34103,249
250,29448,250
251,6635,251
252,35792,252
253,28161,253
254,41161,254
255,42602,255
256,37273,256
257,26731,257
258,31490,258
259,26663,259
260,11540,260
261,22100,261
262,6432,262
263,38883,263
264,3649,264
265,48089,265
266,21748,266
267,26943,267
268,4801,268
269,11975,269
270,26177,270
271,45667,271
272,14476,272
273,42169,273
274,30718,274
275,35100,275
276,7834,276
277,39596,277
278,7028,278
279,49049,279
280,36494,280
281,5402,281
282,28183,282
283,44188,283
284,48053,284
285,46640,285
286,26421,286
287,38091,287
288,40452,288
289,12287,289
290,33789,290
291,29805,291
292,19433,292
293,25172,293
294,1149,294
295,7236,295
296,10735,296
297,41341,297
298,28864,298
299,22936,299
300,24222,300
301,16711,301
302,2807,302
303,3429,303
304,34586,304
305,49697,305
306,19335,306
307,6158,307
308,30242,308
309,25970,309
310,45819,310
311,49629,311
312,49996,312
313,41878,313
314,12393,314
315,38318,315
316,40799,316
317,29563,317
318,38484,318
319,45209,319
320,47340,320
321,9788,321
322,40078,322
323,28970,323
324,3092,324
325,13839,325
326,2817,326
327,25444,327
328,31317,328
329,27750,329
330,10781,330
331,32618,331
332,128,332
333,2321,333
334,43993,334
335,20345,335
336,34528,336
337,6122,337
338,11158,338
339,43876,339
340,22118,340
341,30519,341
342,6035,342
343,10536,343
344,31294,344
345,5181,345
346,1956,346
347,14960,347
348,34796,348
349,6279,349
350,5091,350
351,44174,351
352,8699,352
353,21423,353
354,40374,354
355,22651,355
356,18772,356
357,11864,357
358,25732,358
359,12650,359
360,12324,360
361,5843,361
362,41127,362
363,41166,363
364,25614,364
365,43510,365
366,17355,366
367,45468,367
368,37871,368
369,17294,369
370,43328,370
371,24765,371
372,17875,372
373,27736,373
374,38486,374
375,16585,375
376,7157,376
377,2705,377
378,26498,378
379,42568,379
380,34090,380
381,26817,381
382,17785,382
383,3562,383
384,2552,384
385,10953,385
386,9909,386
387,10524,387
388,27904,388
389,46772,389
390,18308,390
391,44172,391
392,3353,392
393,48668,393
394,24932,394
395,46790,395
396,1834,396
397,47114,397
398,35063,398
399,19312,399
400,30798,400
401,29357,401
402,15401,402
403,34341,403
404,42604,404
405,11764,405
406,38379,406
407,22682,407
408,21968,408
409,9109,409
410,15565,410
411,12271,411
412,13611,412
413,41356,413
414,16322,414
415,10768,415
416,24225,416
417,24175,417
418,20684,418
419,18430,419
420,28317,420
421,33823,421
422,13705,422
423,17636,423
424,38132,424
425,47712,425
426,26966,426
427,33300,427
428,32786,428
429,22725,429
430,37498,430
431,32822,431
432,22534,432
433,12431,433
434,28610,434
435,19872,435
436,46912,436
437,29452,437
438,44793,438
439,20595,439
440,30758,440
441,7016,441
442,7152,442
443,24335,443
444,26727,444
445,27027,445
446,4750,446
447,24770,447
448,6093,448
449,23705,449
450,37904,450
451,6115,451
452,2789,452
453,45752,453
454,33116,454
455,45985,455
456,12426,456
457,5458,457
458,33826,458
459,34547,459
460,39478,460
461,45621,461
462,1431,462
463,14872,463
464,48320,464
465,49492,465
466,46115,466
467,32510,467
468,7596,468
469,47,469
470,16866,470
471,4625,471
472,24363,472
473,30628,473
474,41814,474
475,20777,475
476,38397,476
477,27416,477
478,15288,478
479,4296,479
480,48402,480
481,6824,481
482,15134,482
483,33306,483
484,39402,484
485,2183,485
486,44579,486
487,27964,487
488,11891,488
489,40699,489
490,28608,490
491,40515,491
492,23522,492
493,46667,493
494,32856,494
495,8119,495
496,45918,496
497,6725,497
498,41689,498
499,46378,499
500,36146,500
501,49655,501
502,37499,502
503,5865,503
504,28723,504
505,16002,505
506,3957,506
507,17403,507
508,45901,508
509,23243,509
510,17322,510
511,6903,511
512,40332,512
513,40171,513
514,16227,514
515,2671,515
516,4172,516
517,34100,517
518,7717,518
519,42456,519
520,21093,520
521,5605,521
522,39512,522
523,17609,523
524,41419,524
525,6870,525
526,10149,526
527,42131,527
528,26398,528
529,35934,529
530,18233,530
531,41237,531
532,13794,532
533,18316,533
534,47172,534
535,23249,535
536,4150,536
537,15550,537
538,10838,538
539,22579,539
540,49680,540
541,17984,541
542,26770,542
543,5869,543
544,11868,544
545,40199,545
546,10778,546
547,15756,547
548,27404,548
549,19442,549
550,1139,550
551,26985,551
552,7647,552
553,13823,553
554,47180,554
555,45400,555
556,39632,556
557,21940,557
558,27124,558
559,45649,559
560,35394,560
561,8970,561
562,14704,562
563,18468,563
564,5742,564
565,7669,565
566,11037,566
567,32578,567
568,48122,568
569,8484,569
570,18197,570
571,26483,571
572,30029,572
573,6481,573
574,23890,574
575,14606,575
576,35966,576
577,3167,577
578,38224,578
579,43869,579
580,10647,580
581,40583,581
582,5322,582
583,5140,583
584,33144,584
585,36799,585
586,46774,586
587,5199,587
588,40302,588
589,6165,589
590,33518,590
591,633,591
592,49043,592
593,45317,593
594,12202,594
595,5347,595
596,23874,596
597,26349,597
598,465,598
599,6375,599
600,2378,600
601,7242,601
602,49585,602
603,15260,603
604,5378,604
605,8664,605
606,6214,606
607,2979,607
608,32209,608
609,37988,609
610,46729,610
611,45171,611
612,45231,612
613,33247,613
614,29161,614
615,12998,615
616,2994,616
617,35691,617
618,44633,618
619,6076,619
620,17365,620
621,28024,621
622,29445,622
623,22085,623
624,28293,624
625,46944,625
626,2865,626
627,9175,627
628,462,628
629,22296,629
630,26283,630
631,12026,631
632,39104,632
633,4288,633
634,25765,634
635,23715,635
636,17444,636
637,4589,637
638,34049,638
639,44505,639
640,16075,640
641,14260,641
642,41357,642
643,14112,643
644,28895,644
645,2313,645
646,45359,646
647,21550,647
648,26055,648
649,45563,649
650,7829,650
651,15609,651
652,31427,652
653,704,653
654,31894,654
655,24936,655
656,2472,656
657,36658,657
658,34355,658
659,21638,659
660,43283,660
661,26454,661
662,47082,662
663,14681,663
664,33078,664
665,19478,665
666,8878,666
667,1778,667
668,38325,668
669,3847,669
670,25592,670
671,9540,671
672,41510,672
673,15836,673
674,2266,674
675,34797,675
676,13765,676
677,42672,677
678,22414,678
679,18580,679
680,45078,680
681,20306,681
682,41686,682
683,43158,683
684,999,684
685,783,685
686,22969,686
687,6834,687
688,25612,688
689,12712,689
690,18914,690
691,25301,691
692,4583,692
